Name;Pago;Despacho;Moneda;Subtotal;Precio despacho;Total;Desc monto;Shipping Method;Cantidad;Producto;Precio oferta;Precio normal;SKU;status despacho;Ciudad;Codigo postal;Region
#43250;Pagado;Despachado;CLP;31984;0;31984;7996;Retiro en tienda;2;Botin Nueva Orleans  Negro Premium - Negro / 35;19990;39990;6001202035;fulfilled;Conde;CONCES;RM
#43249;Pagado;Despachado;CLP;14990;3990;18980;0;Despacho Region Metropolitana;1;Zapato Albacete Negro Premium - Negro / 37;14990;29990;0801072037;fulfilled;Las condes ;SANTIAGO;RM
#43248;Pagado;Despachado;CLP;15992;0;15992;3998;Retiro en tienda;1;Zapatilla Montreal  Premium - Negro / 35;19990;39990;8381072035;fulfilled;Condes;CONDES;RM
#43247;Pagado;Despachado;CLP;19990;3990;23980;0;Despacho Region Metropolitana;1;Botin Atenas Negro Premium - Negro / 38;19990;49990;0037072038;fulfilled;Providencia ;SANTIAGO;RM
#43246;Pagado;Despachado;CLP;14990;0;14990;0;Retiro en tienda;1;Zapato Albacete Negro Premium - Negro / 35;14990;29990;0801182035;fulfilled;HUECHURABA;SANTIAGO;RM
#43245;Pagado;Despachado;CLP;49980;0;49980;0;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 37;19990;44990;1838072037;fulfilled;Condes;CONDES;RM
#43245;;;;;;;;;1;Zapatilla Angelica Negro Premium - Negro / 39;29990;;0100072039;fulfilled;;;
#43244;Pagado;Despachado;CLP;9990;8290;18280;0;Despacho Region;1;Zapatilla Brisbane CafÃ© Premium - Negro / 38;9990;49990;1003204038;fulfilled;La Calera ;LACALERA;VS
#43243;Pagado;Despachado;CLP;79960;0;79960;0;Retiro en tienda;2;Zapatilla Moscow Negro Premium - Negro / 36;19990;44990;1838072036;fulfilled;Condes;CONDES;RM
#43243;;;;;;;;;2;Zapatilla Moscow Negro Premium - Negro / 38;19990;44990;1838072038;fulfilled;;;
#43242;Pagado;Despachado;CLP;19990;3990;23980;0;Despacho Region Metropolitana;1;Zapatillas Sky Negro Police - Negro / 36;19990;;39-36;fulfilled;Padre Hurtado;SANTIAGO;RM
#43241;Pagado;Despachado;CLP;19990;0;19990;0;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 37;19990;44990;1838072037;fulfilled;EstaciÃ_n Central ;SANTIAGO;RM
#43240;Pagado;Despachado;CLP;9990;0;9990;0;Retiro en tienda;1;Botin Valencia Negro Premium - Burdeo / 36;9990;39990;3905058536;fulfilled;MaipÃº;SANTIAGO;RM
#43239;Pagado;Despachado;CLP;15992;0;15992;3998;Retiro en tienda;1;Botin Nueva Orleans  Negro Premium - Negro / 35;19990;39990;6001202035;fulfilled;Conde;CONCDS;RM
#43238;Pagado;Despachado;CLP;39980;0;39980;0;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 36;19990;44990;1838072036;fulfilled;Xonxes;CONDES;RM
#43238;;;;;;;;;1;Zapatilla Moscow Negro Premium - Negro / 37;19990;44990;1838072037;fulfilled;;;
#43237;Pagado;Despachado;CLP;19990;0;19990;0;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 36;19990;44990;1838072036;fulfilled;Conxes;CONCDS;RM
#43236;Pagado;Despachado;CLP;19990;0;19990;0;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 38;19990;44990;1838072038;fulfilled;Conxes;CONXES;RM
#43235;Pagado;Despachado;CLP;19990;0;19990;0;Retiro en tienda;1;Botin Toronto Leopardo Premium - Beige / 37;19990;39990;0100075437;fulfilled;Lo barnechea ;SANTIAGO;RM
#43234;Pagado;Despachado;CLP;19990;8290;28280;0;Despacho Region;1;Zapatilla Brisbane Negro Premium - Negro / 38;19990;49990;1003202038;fulfilled;chillan;CHILLAN;NB
#43233;Pagado;Despachado;CLP;19990;0;19990;0;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 36;19990;44990;1838072036;fulfilled;Condes;CONCES;RM
#43232;Pagado;Despachado;CLP;15992;0;15992;3998;Retiro en tienda;1;Botin Nueva Orleans  Negro Premium - Negro / 35;19990;39990;6001202035;fulfilled;Conces;CONES;RM
#43231;Pagado;Despachado;CLP;19990;0;19990;0;Retiro en tienda;1;Zapatilla Moscow Negro Premium - Negro / 36;19990;44990;1838072036;fulfilled;Conces;CONXES;RM
#43230;Pagado;Despachado;CLP;29990;3990;33980;0;Despacho Region Metropolitana;1;Zapatilla Marilyn Beige Premium - Beige / 38;29990;;3611074438;fulfilled;SANTIAGO;'8320000;RM
#43229;Pagado;Despachado;CLP;19990;0;19990;0;Retiro en tienda;1;Botin Paris Burdeo Premium - Burdeo / 38;19990;39990;8172078538;fulfilled;providencia;'7500000;RM
#43228;Pagado;Despachado;CLP;19990;0;19990;0;Retiro en tienda;1;Bota  Cleveland Negro Premium - Negro / 39;19990;89990;0001002039;fulfilled;santiago;SANTIAGO;RM
#43227;Pagado;Despachado;CLP;15992;0;15992;3998;Retiro en tienda;1;Botin Nueva Orleans  Negro Premium - Negro / 35;19990;39990;6001202035;fulfilled;Conces;CONXED;RM
